dataset name,archiveType,proxyObservationType,units,proxySystem
NAm-MtLemon.Briffa.2002,tree,corrs,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-RedMountainPassSilverton.Graybill.1994,tree,sampleCount,count,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-RedMountainPassSilverton.Graybill.1994,tree,segment,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-RedMountainPassSilverton.Graybill.1994,tree,ringWidth,cm,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-RedMountainPassSilverton.Graybill.1994,tree,residual,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-RedMountainPassSilverton.Graybill.1994,tree,SD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-RedMountainPassSilverton.Graybill.1994,tree,core,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-Bennington.Luckman.2013,tree,SE,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
Arc-LakeNataujärvi.Ojala.2005,lake sediment,X_radiograph_dark_layer,dark_sum,http://wiki.linked.earth/Special:URIResolver/ProxySystem.LakeSediment.VarvePropertyDefaultSensor.VarveProperty
Arc-LakeNataujärvi.Ojala.2005,lake sediment,X_radiograph_dark_layer,dark_sum,http://wiki.linked.earth/Special:URIResolver/ProxySystem.LakeSediment.VarvePropertyDefaultSensor.VarveProperty
NAm-CanyonCreek.Lloyd.2002,tree,sampleCount,count,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CanyonCreek.Lloyd.2002,tree,EPS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CanyonCreek.Lloyd.2002,tree,core,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
GeoB10069-3.Gibbons.2014,marine sediment,mg/ca,mmol/mol,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Globigerinoides_ruber.Mg/Ca
