authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Melissa A. Berke,LakeSediment,NA,m,NA,NA,NA,NA
Andrew G. Bunn,Wood,Arstan Chronology,NA,NA,NA,NA,NA
W.C.G. Wester,Speleothem,D18O,permil,NA,Na,NA,NA
NA,MarineSediment,Foraminifera Abundance,percent,NA,NA,NA,NA
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,surface.temp,degC
Parker E. Calkin,Wood,NA,NA,NA,NA,NA,NA
NA,Coral,D18O,permil,D18O Seawater,Na,Na D18O Seawater,NA
James W. C. White,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
G.H. Clarke,Peat,NA,NA,NA,NA,Temperature,degC
Brian H Luckman,Wood,Core,NA,NA,NA,NA,NA
David Frank,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Lukas Langhamer,Wood,NA,AD,NA,NA,NA,NA
Dierk Hebbeln,MarineSediment,D18O,permil,NA,NA,Temperature,degC
Peter K. Swart,Coral,D18O,permil,NA,Sea Surface,NA,NA
B. H. Luckman,Wood,Segment,NA,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
NA,MarineSediment,Total Organic Carbon,percent,NA,NA,NA,NA
S. T. Gray,Wood,Core,NA,NA,NA,NA,NA
Swart,Coral,D18O,permil,NA,Sea Surface,NA,NA
Olivia T Gibb,Peat,NA,NA,NA,NA,temperatureComposite,degC
K. Selvaraj,MarineSediment,NA,cm,NA,NA,Temperature,degC
Brian H Luckman,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Lauren J. Davies,Ice-other,D-Excess,permil,NA,NA,uncertainty temperature1,degC
Aur̩Lie Penaud,Peat,NA,NA,NA,NA,Temperature,degC
Graf,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
