coordinates,publication,filename,authorName,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,E. Selmo,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,Y. Motizuki,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,Y. Nakai,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,K. Takahashi,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,M. Igarashi,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,H. Motoyama,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF1993.Uemura.2014.lpd,K. Suzuki,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,Kazuho Horiuchi,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,Tomoko Uchida,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,Yuko Sakamoto,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,Aoi Ohta,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,Hiroyuki Matsuzaki,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,Yasuyuki Shibata,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[39.7, -77.32, 3810]",PAGES2kv2,Ant-DomeF2001.Uemura.2008.lpd,Hideaki Motoyama,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,C. T. Plummer,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,M. A. J. Curran,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,T D. Van Ommen,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,S. O. Rasmussen,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,A. D. Moy,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,T. R. Vance,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,H. B. Clausen,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,B. M. Vinther,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[112.807, -66.77, 1370]",PAGES2kv2,Ant-DSS.Moy.2012.lpd,P. A. Mayewski,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-86.9, -74.57, 1354]",PAGES2kv2,Ant-Ferrigno.Thomas.2013.lpd,Elizabeth R. Thomas,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-86.9, -74.57, 1354]",PAGES2kv2,Ant-Ferrigno.Thomas.2013.lpd,Thomas J. Bracegirdle,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-86.9, -74.57, 1354]",PAGES2kv2,Ant-Ferrigno.Thomas.2013.lpd,John Turner,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-86.9, -74.57, 1354]",PAGES2kv2,Ant-Ferrigno.Thomas.2013.lpd,Eric W. Wolff,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Nerilie J. Abram,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Robert Mulvaney,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Eric W. Wolff,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Jack Triest,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Sepp Kipfstuhl,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Luke D. Trusel,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Françoise Vimeux,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Louise Fleet,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[-57.685, -64.2017, 1542]",PAGES2kv2,Ant-JamesRossIsland.Mulvaney.2013.lpd,Carol Arrowsmith,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,R. H. Rhodes,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,N. A. N. Bertler,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,J. A. Baker,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,H. C. Steen-Larsen,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,S. B. Sneed,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,U. Morgenstern,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[167.6765, -77.515, 1600]",PAGES2kv2,Ant-MES.Rhodes.2012.lpd,S. J. Johnsen,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[43, -84, 3330]",PAGES2kv2,Ant-PlateauRemote.Mosley-Thompson.2013.lpd,Pages 2K Consortium,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-84.25, -75.92, 1054]",PAGES2kv2,Ant-SipleStation.Mosley-Thompson.1990.lpd,E. Mosley-Thompson,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-84.25, -75.92, 1054]",PAGES2kv2,Ant-SipleStation.Mosley-Thompson.1990.lpd,L. Thompson,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-84.25, -75.92, 1054]",PAGES2kv2,Ant-SipleStation.Mosley-Thompson.1990.lpd,P. M. Grootes,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-84.25, -75.92, 1054]",PAGES2kv2,Ant-SipleStation.Mosley-Thompson.1990.lpd,N. Gundestrup,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
