coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[5.885, 78.96, -1497]",PAGES2kv2,Ocn-WestSpitzberg.Bonnet.2010.lpd,Claude Hillaire-Marcel,marine sediment,inferred,inferred sea-surface temperature (mean),NA,Sea Surface,Temperature,degC,1
"[5.885, 78.96, -1497]",PAGES2kv2,Ocn-WestSpitzberg.Bonnet.2010.lpd,Taoufik Radi,marine sediment,inferred,inferred sea-surface temperature (mean),NA,Sea Surface,Temperature,degC,1
"[5.885, 78.96, -1497]",PAGES2kv2,Ocn-WestSpitzberg.Bonnet.2010.lpd,Katrine Husum,marine sediment,inferred,inferred sea-surface temperature (mean),NA,Sea Surface,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,L. Von Gunten,lake sediment,inferred,inferred temperature,NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,M. Grosjean,lake sediment,inferred,inferred temperature,NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,B. Rein,lake sediment,inferred,inferred temperature,NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,R. Urrutia,lake sediment,inferred,inferred temperature,NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,P. Appleby,lake sediment,inferred,inferred temperature,NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,L. Von Gunten,lake sediment,inferred,"smooth: 5-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation.",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,M. Grosjean,lake sediment,inferred,"smooth: 5-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation.",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,B. Rein,lake sediment,inferred,"smooth: 5-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation.",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,R. Urrutia,lake sediment,inferred,"smooth: 5-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation.",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,P. Appleby,lake sediment,inferred,"smooth: 5-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation.",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,L. Von Gunten,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Scaling",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,M. Grosjean,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Scaling",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,B. Rein,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Scaling",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,R. Urrutia,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Scaling",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,P. Appleby,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Scaling",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,L. Von Gunten,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Regression",NA,Air Surface,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,M. Grosjean,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Regression",NA,Air Surface,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,B. Rein,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Regression",NA,Air Surface,Temperature,degC,1
