dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
PolevaCave.Constantin.2007.lpd,Temp12k1_0_1,Speleothem,Speleothem,WEB21765f70,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,T,air@surface
PolevaCave.Constantin.2007.lpd,Temp12k1_0_1,Speleothem,Speleothem,WEB2fbf3af7,measured,d13C,d13C,NA,NA,d13C,2,permil,NA,NA,NA,NA
RR1313_23PC.MoffaSanchez.2019.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RrXL5yQhooZ,measured,Mg/Ca,Mg/Ca,NA,NA,Mg/Ca,2,mmol/mol,NA,NA,NA,NA
SaharaSandWetland.Rao.2019.lpd,Temp12k1_0_1,Peat,Peat,WEB3a8703e6,measured,d13C,d13C,NA,NA,d13C,2,permil,NA,NA,T,air@surface
SaharaSandWetland.Rao.2019.lpd,Temp12k1_0_1,Peat,Peat,WEB2137f736,measured,repeats,NA,NA,NA,repeats,3,permil,NA,NA,NA,NA
SipleDomeA.Das.2008.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB8d90dc28,measured,meltLayers,NA,NA,NA,meltLayers,3,unitless,NA,NA,NA,NA
SipleDomeA.Das.2008.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEBe15adc6e,measured,meltLayerFrequency,NA,NA,NA,meltLayerFrequency,3,frequency/1000yrs,NA,NA,T,air@surface
TALDICE.Mezgec.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,RI5yVdfrWcH,measured,d2H,dD,NA,NA,dD,2,permil,NA,NA,NA,NA
TALDICE.Mezgec.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,Rzr1TEfhyeB,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,T,air@condensation
TALDICE.Mezgec.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,RPrWUMhPyo2,measured,deuteriumExcess,deuteriumExcess,NA,NA,deuteriumExcess,2,permil,NA,NA,NA,NA
